"","Player","Pos","Ht","Wt","Forty","Vertical","BenchReps","BroadJump","Cone","Shuttle","AV","Round","Forty_Imputed","Vertical_Imputed","BenchReps_Imputed","BroadJump_Imputed","Cone_Imputed","Shuttle_Imputed"
"215","William James","CB",72,197,4.51,38.5,13,120,NA,NA,0,8,4.51,38.5,13,120,6.94,4.16
"216","Ligarius Jennings","CB",69,202,4.67,34,11,120,7.07,4.03,1,8,4.67,34,11,120,7.07,4.03
"217","Bhawoh Jue","CB",72,199,4.54,34.5,NA,113,7.21,4.27,6,3,4.54,34.5,15,113,7.21,4.27
"218","Eric Kelly","CB",70,199,4.46,36,15,120,7.24,4.18,9,3,4.46,36,15,120,7.24,4.18
"219","Ken Lucas","CB",72,200,4.45,NA,NA,NA,NA,NA,14,2,4.45,36,15,121,6.94,4.16
"220","Willie Middlebrooks","CB",74,200,4.5,NA,17,NA,NA,NA,2,1,4.5,36,17,121,6.94,4.16
"221","Keon Moore","CB",71,193,4.56,37.5,10,119,7.06,4.2,0,8,4.56,37.5,10,119,7.06,4.2
"222","Leonard Myers","CB",70,190,4.65,37,13,120,7.21,4.16,1,6,4.65,37,13,120,7.21,4.16
"223","Carey Scott","CB",71,208,4.65,30,NA,113,7.52,4.18,0,6,4.65,30,15,113,7.52,4.18
"224","Dwight Smith","CB",70,212,4.51,33.5,15,114,NA,NA,13,3,4.51,33.5,15,114,6.94,4.16
"225","Fred Smoot","CB",71,172,4.48,NA,NA,NA,NA,NA,18,2,4.48,36,15,121,6.94,4.16
