"","Player","Pos","Ht","Wt","Forty","Vertical","BenchReps","BroadJump","Cone","Shuttle","AV","Round","Forty_Imputed","Vertical_Imputed","BenchReps_Imputed","BroadJump_Imputed","Cone_Imputed","Shuttle_Imputed"
"2601","Adam Ulatoski","OG",77,300,5.52,26,24,94,7.98,4.99,0,8,5.52,26,24,94,7.98,4.99
"2602","David Arkin","OG",77,300,5.31,29,25,103,7.6,4.63,0,4,5.31,29,25,103,7.6,4.63
"2603","Clint Boling","OG",77,308,5.28,31,28,102,7.66,4.64,14,4,5.28,31,28,102,7.66,4.64
"2604","Justin Boren","OG",75,309,5.4,NA,28,NA,7.57,4.75,0,8,5.4,27.5,28,100,7.57,4.75
"2605","Garrett Chisolm","OG",77,312,5.36,NA,NA,NA,NA,NA,0,8,5.36,27.5,25,100,7.91,4.78
"2606","Ray Dominguez","OG",76,334,5.45,27.5,21,90,7.74,4.9,0,8,5.45,27.5,21,90,7.74,4.9
"2607","Ricky Henry","OG",75,308,5.68,24,20,90,7.98,4.68,0,8,5.68,24,20,90,7.98,4.68
"2608","Zach Hurd","OG",79,316,5.28,28,NA,101,7.73,4.77,0,8,5.28,28,25,101,7.73,4.77
"2609","Maurice Hurt","OG",75,318,5.39,NA,18,NA,NA,NA,6,7,5.39,27.5,18,100,7.91,4.78
"2610","Ben Ijalana","OG",76,317,5.2,NA,NA,NA,NA,NA,0,2,5.2,27.5,25,100,7.91,4.78
"2611","Andrew Jackson-01","OG",77,299,5.27,28,25,98,7.55,4.65,0,7,5.27,28,25,98,7.55,4.65
"2612","Carl Johnson","OG",77,361,5.4,25.5,25,96,NA,5.03,0,8,5.4,25.5,25,96,7.91,5.03
"2613","Daniel Kilgore","OG",75,308,5.28,32.5,23,105,7.59,4.68,2,5,5.28,32.5,23,105,7.59,4.68
"2614","John Moffitt","OG",76,319,5.51,30.5,23,102,7.79,4.53,7,3,5.51,30.5,23,102,7.79,4.53
"2615","Mike Person","OG",76,299,5.07,28,21,108,7.44,4.5,1,7,5.07,28,21,108,7.44,4.5
"2616","Mike Pouncey","OG",77,303,5.12,25,NA,96,7.66,4.64,22,1,5.12,25,25,96,7.66,4.64
"2617","Will Rackley","OG",75,309,5.39,23.5,29,99,7.91,4.94,8,3,5.39,23.5,29,99,7.91,4.94
"2618","Steve Schilling","OG",76,308,5.18,25.5,30,98,7.73,4.62,3,6,5.18,25.5,30,98,7.73,4.62
"2619","Caleb Schlauderaff","OG",76,305,5.18,NA,NA,NA,NA,NA,1,6,5.18,27.5,25,100,7.91,4.78
"2620","Isaiah Thompson","OG",75,300,6,25,23,82,9.04,5.56,0,8,6,25,23,82,9.04,5.56
"2621","Julian Vandervelde","OG",74,301,5.12,31,23,104,7.46,4.59,1,5,5.12,31,23,104,7.46,4.59
"2622","Danny Watkins","OG",75,310,5.36,26,29,92,7.61,4.62,9,1,5.36,26,29,92,7.61,4.62
"2623","Keith Williams","OG",76,318,5.28,24.5,23,93,8.42,5.03,0,6,5.28,24.5,23,93,8.42,5.03
"2624","Mark Asper","OG",78,319,5.32,NA,23,NA,NA,NA,0,6,5.32,27.5,23,100,7.91,4.78
"2625","Kelvin Beachum","OG",75,303,5.38,28.5,19,101,7.79,4.8,16,7,5.38,28.5,19,101,7.79,4.8
"2626","James Brown","OG",75,306,5.19,25.5,24,102,7.7,4.78,2,8,5.19,25.5,24,102,7.7,4.78
"2627","David DeCastro","OG",77,316,5.32,29.5,34,98,7.3,4.56,16,1,5.32,29.5,34,98,7.3,4.56
"2628","Adam Gettis","OG",74,293,4.9,31.5,NA,112,7.99,4.65,1,5,4.9,31.5,25,112,7.99,4.65
"2629","Rishaw Johnson","OG",75,313,5.12,31.5,22,108,7.87,4.53,1,8,5.12,31.5,22,108,7.87,4.53
"2630","Senio Kelemete","OG",76,307,5.39,25,21,101,7.77,4.58,5,5,5.39,25,21,101,7.77,4.58
"2631","Ronald Leary","OG",75,315,5.23,29,30,104,7.87,4.91,15,8,5.23,29,30,104,7.87,4.91
"2632","Josh LeRibeus","OG",75,312,5.31,26,29,96,7.64,4.65,8,3,5.31,26,29,96,7.64,4.65
"2633","Joe Looney","OG",75,309,5.02,NA,26,NA,NA,NA,3,4,5.02,27.5,26,100,7.91,4.78
"2634","Antoine McClain","OG",77,329,5.48,27,19,91,8.13,4.82,0,8,5.48,27,19,91,8.13,4.82
"2635","Ryan Miller","OG",79,321,5.16,28,32,100,7.72,4.78,0,5,5.16,28,32,100,7.72,4.78
"2636","Lucas Nix","OG",77,317,5.36,29.5,NA,102,7.81,4.9,4,8,5.36,29.5,25,102,7.81,4.9
"2637","Amini Silatolu","OG",76,311,5.33,31.5,28,107,7.95,4.87,12,2,5.33,31.5,28,107,7.95,4.87
"2638","Andrew Tiller","OG",76,324,5.44,23,16,85,7.92,4.8,3,6,5.44,23,16,85,7.92,4.8
"2639","Johnnie Troutman","OG",76,325,5.52,27.5,31,NA,7.96,5,14,5,5.52,27.5,31,100,7.96,5
"2640","Brandon Washington","OG",75,320,5.14,25,28,101,8.22,4.87,0,6,5.14,25,28,101,8.22,4.87
"2641","Rokevious Watkins","OG",76,338,5.29,27,NA,102,7.87,4.9,1,5,5.29,27,25,102,7.87,4.9
"2642","Desmond Wynn","OG",77,303,4.98,32.5,28,NA,NA,NA,0,8,4.98,32.5,28,100,7.91,4.78
"2643","Kevin Zeitler","OG",76,314,5.32,29,32,101,7.77,4.61,18,1,5.32,29,32,101,7.77,4.61
"2644","Zach Allen","OG",74,332,5.43,NA,32,NA,NA,NA,0,8,5.43,27.5,32,100,7.91,4.78
"2645","Jeff Baca","OG",75,302,5.03,26.5,NA,100,7.26,4.44,0,6,5.03,26.5,25,100,7.26,4.44
"2646","Alvin Bailey","OG",75,312,4.95,NA,27,NA,NA,NA,8,8,4.95,27.5,27,100,7.91,4.78
"2647","Chris Barker","OG",75,305,5.25,27.5,29,99,8.09,4.77,0,8,5.25,27.5,29,99,8.09,4.77
"2648","Travis Bond","OG",78,329,5.27,22.5,22,98,7.85,4.96,0,7,5.27,22.5,22,98,7.85,4.96
"2649","Jonathan Cooper","OG",74,311,5.07,27,35,108,7.78,4.84,7,1,5.07,27,35,108,7.78,4.84
"2650","Manese Foketi","OG",77,318,5.54,23.5,25,102,8.11,5.06,0,8,5.54,23.5,25,102,8.11,5.06
"2651","Eric Herman","OG",76,320,5.25,28,36,95,7.99,5.09,0,7,5.25,28,36,95,7.99,5.09
"2652","Mark Jackson","OG",77,328,5.65,20.5,20,91,8.07,5.03,0,8,5.65,20.5,20,91,8.07,5.03
"2653","Jamaal Johnson-Webb","OG",77,313,5.37,23,17,92,8.12,4.74,0,8,5.37,23,17,92,8.12,4.74
"2654","Edmund Kugbila","OG",76,317,5.13,22.5,23,105,7.72,4.65,0,4,5.13,22.5,23,105,7.72,4.65
"2655","Kyle Long","OG",78,313,4.91,28,NA,107,7.83,4.63,32,1,4.91,28,25,107,7.83,4.63
"2656","Lamar Mady","OG",74,317,5.48,23,35,95,8.07,4.82,0,8,5.48,23,35,95,8.07,4.82
"2657","Stephane Milhim","OG",76,314,5.14,28.5,NA,104,NA,4.87,0,8,5.14,28.5,25,104,7.91,4.87
"2658","Hugh Thornton","OG",75,320,5.11,NA,27,NA,7.45,4.63,17,3,5.11,27.5,27,100,7.45,4.63
"2659","J.C. Tretter","OG",76,307,5.09,29.5,29,109,7.48,4.69,7,4,5.09,29.5,29,109,7.48,4.69
"2660","Larry Warford","OG",75,332,5.58,22.5,28,96,7.78,5.1,20,3,5.58,22.5,28,96,7.78,5.1
"2661","Chance Warmack","OG",74,317,5.49,NA,NA,110,NA,NA,19,1,5.49,27.5,25,110,7.91,4.78
"2662","Earl Watford","OG",75,300,5.06,30,24,107,7.77,5,8,4,5.06,30,24,107,7.77,5
"2663","Brian Winters","OG",76,320,5.22,NA,9,NA,NA,NA,11,3,5.22,27.5,9,100,7.91,4.78
"2664","Joel Bitonio","OG",76,302,4.92,32,22,114,7.37,4.44,12,2,4.92,32,22,114,7.37,4.44
"2665","Russell Bodine","OG",75,310,5.18,29,42,109,8.26,4.66,21,4,5.18,29,42,109,8.26,4.66
"2666","Conor Boffeli","OG",76,298,5.3,25,21,101,7.44,4.61,0,8,5.3,25,21,101,7.44,4.61
"2667","Dakota Dozier","OG",76,313,5.42,24,23,101,8.14,4.89,1,4,5.42,24,23,101,8.14,4.89
"2668","Kadeem Edwards","OG",76,313,5.25,27,26,99,7.95,4.82,0,5,5.25,27,26,99,7.95,4.82
"2669","Zach Fulton","OG",77,316,5.16,24.5,25,98,7.87,5.16,17,6,5.16,24.5,25,98,7.87,5.16
"2670","Ryan Groy","OG",77,316,5.19,26.5,26,108,7.49,4.47,5,8,5.19,26.5,26,108,7.49,4.47
"2671","Jon Halapio","OG",75,323,5.34,21.5,NA,100,8.26,4.83,2,6,5.34,21.5,25,100,8.26,4.83
"2672","Gabe Jackson","OG",75,336,5.34,29,30,108,8.25,4.78,18,3,5.34,29,30,108,8.25,4.78
"2673","Charles Leno","OG",76,303,5.25,29,21,108,7.57,4.4,16,7,5.25,29,21,108,7.57,4.4
"2674","Brandon Linder","OG",78,311,5.35,26.5,30,100,NA,NA,12,3,5.35,26.5,30,100,7.91,4.78
"2675","Spencer Long","OG",77,320,5.16,NA,NA,NA,NA,NA,13,3,5.16,27.5,25,100,7.91,4.78
"2676","Zack Martin","OG",76,308,5.22,28,29,106,7.65,4.59,35,1,5.22,28,29,106,7.65,4.59
"2677","Cyril Richardson","OG",77,329,5.36,25.5,25,91,7.7,4.83,2,5,5.36,25.5,25,91,7.7,4.83
"2678","Anthony Steen","OG",75,314,5.33,NA,NA,NA,NA,NA,5,8,5.33,27.5,25,100,7.91,4.78
"2679","Xavier Su'a-Filo","OG",76,307,5.04,25,25,102,7.6,4.44,11,2,5.04,25,25,102,7.6,4.44
"2680","Brandon Thomas","OG",75,317,5.09,29,35,98,8.13,4.83,0,3,5.09,29,35,98,8.13,4.83
"2681","Trai Turner","OG",75,310,4.93,27.5,25,NA,NA,NA,23,3,4.93,27.5,25,100,7.91,4.78
"2682","John Urschel","OG",75,313,5.31,29,30,102,7.55,4.47,7,5,5.31,29,30,102,7.55,4.47
"2683","Chris Watt","OG",75,310,5.5,NA,29,NA,NA,NA,4,3,5.5,27.5,29,100,7.91,4.78
"2684","David Yankey","OG",78,315,5.48,28.5,22,103,7.81,4.86,0,5,5.48,28.5,22,103,7.81,4.86
"2685","Al Bond","OG",76,303,5.57,23.5,22,90,7.9,4.65,0,8,5.57,23.5,22,90,7.9,4.65
"2686","Brett Boyko","OG",79,301,5.6,25,NA,103,7.91,4.75,0,8,5.6,25,25,103,7.91,4.75
"2687","Trenton Brown","OG",80,355,5.21,23.5,20,97,8.23,4.78,13,7,5.21,23.5,20,97,8.23,4.78
"2688","A.J. Cann","OG",75,313,5.47,NA,26,NA,NA,NA,20,3,5.47,27.5,26,100,7.91,4.78
"2689","Jamil Douglas","OG",76,304,5.25,29,28,99,7.99,4.75,3,4,5.25,29,28,99,7.99,4.75
"2690","Tayo Fabuluje","OG",78,353,5.55,29.5,NA,NA,NA,4.77,0,6,5.55,29.5,25,100,7.91,4.77
"2691","Jon Feliciano","OG",76,323,5.33,26.5,NA,97,NA,4.74,4,4,5.33,26.5,25,97,7.91,4.74
"2692","Mark Glowinski","OG",76,307,5.2,29.5,31,113,7.56,4.58,9,4,5.2,29.5,31,113,7.56,4.58
"2693","Jarvis Harrison","OG",76,330,5.19,29.5,26,102,7.51,4.62,0,5,5.19,29.5,26,102,7.51,4.62
"2694","Bobby Hart","OG",77,329,5.61,NA,NA,NA,NA,NA,9,7,5.61,27.5,25,100,7.91,4.78
"2695","Tre Jackson","OG",76,330,5.52,25,NA,96,NA,NA,6,4,5.52,25,25,96,7.91,4.78
"2696","Arie Kouandjio","OG",77,310,5.48,NA,NA,NA,NA,NA,4,4,5.48,27.5,25,100,7.91,4.78
"2697","Ali Marpet","OG",76,307,4.98,30.5,30,108,7.33,4.47,19,2,4.98,30.5,30,108,7.33,4.47
"2698","Josue Matias","OG",77,309,5.52,17.5,NA,84,8.19,5.12,0,8,5.52,17.5,25,84,8.19,5.12
"2699","John Miller","OG",74,303,5.33,27,29,104,8.2,4.75,15,3,5.33,27,29,104,8.2,4.75
"2700","Mitch Morse","OG",77,305,5.14,31,36,112,7.6,4.5,19,2,5.14,31,36,112,7.6,4.5
"2701","Robert Myers","OG",77,326,5.44,27.5,NA,94,8.1,4.91,0,5,5.44,27.5,25,94,8.1,4.91
"2702","Jeremiah Poutasi","OG",77,335,5.32,26.5,26,95,8.09,4.89,4,3,5.32,26.5,26,95,8.09,4.89
"2703","Adam Shead","OG",76,338,5.74,NA,26,NA,NA,NA,0,8,5.74,27.5,26,100,7.91,4.78
"2704","Laken Tomlinson","OG",75,323,5.33,31.5,25,103,8.17,4.87,19,1,5.33,31.5,25,103,8.17,4.87
"2705","Joseph Cheek","OG",78,295,5.27,NA,20,NA,NA,NA,0,8,5.27,27.5,20,100,7.91,4.78
"2706","Joshua Garnett","OG",76,312,5.32,29,30,99,7.62,4.64,5,1,5.32,29,30,99,7.62,4.64
"2707","Darrell Greene","OG",75,321,5.2,21.5,28,98,8.07,4.98,0,8,5.2,21.5,28,98,8.07,4.98
"2708","Nila Kasitati","OG",75,317,5.32,27.5,12,107,8.3,4.83,0,8,5.32,27.5,12,107,8.3,4.83
"2709","Connor McGovern","OG",76,306,5.11,33,33,109,7.5,4.65,3,5,5.11,33,33,109,7.5,4.65
"2710","Alex Redmond","OG",77,294,5.3,28,30,111,7.75,4.9,0,8,5.3,28,30,111,7.75,4.9
"2711","Isaac Seumalo","OG",76,303,5.19,26,NA,105,7.4,4.52,4,3,5.19,26,25,105,7.4,4.52
"2712","Sebastian Tretola","OG",76,314,5.45,23.5,22,90,7.94,5.02,0,6,5.45,23.5,22,90,7.94,5.02
"2713","Landon Turner","OG",76,330,5.58,19,30,88,NA,NA,0,8,5.58,19,30,88,7.91,4.78
"2714","Christian Westerman","OG",75,298,5.12,NA,34,98,7.69,4.71,1,5,5.12,27.5,34,98,7.69,4.71
"2715","Isaac Asiata","OG",75,323,5.34,25.5,35,102,7.83,4.93,0,5,5.34,25.5,35,102,7.83,4.93
"2716","Erik Austell","OG",75,301,5.23,27.5,24,107,8.13,4.9,0,8,5.23,27.5,24,107,8.13,4.9
"2717","Zach Banner","OG",80,353,5.58,23.5,22,92,8.31,5.21,0,4,5.58,23.5,22,92,8.31,5.21
"2718","Ben Braden","OG",78,329,5.04,28,25,102,7.85,4.9,0,8,5.04,28,25,102,7.85,4.9
"2719","Aviante Collins","OG",76,295,4.81,NA,34,NA,NA,NA,0,8,4.81,27.5,34,100,7.91,4.78
"2720","Ethan Cooper","OG",74,322,5.36,24.5,26,99,8.02,4.88,0,8,5.36,24.5,26,99,8.02,4.88
"2721","Dion Dawkins","OG",76,314,5.11,26,26,106,7.3,4.78,5,2,5.11,26,26,106,7.3,4.78
"2722","Jessamen Dunker","OG",76,318,4.98,28.5,23,108,NA,NA,0,8,4.98,28.5,23,108,7.91,4.78
"2723","Jermaine Eluemunor","OG",76,332,5.22,NA,34,NA,NA,NA,2,5,5.22,27.5,34,100,7.91,4.78
"2724","Dan Feeney","OG",76,305,5.24,28,26,101,7.52,4.68,5,3,5.24,28,26,101,7.52,4.68
"2725","Avery Gennesy","OG",75,318,5.35,20,24,91,8.08,5,0,8,5.35,20,24,91,8.08,5
"2726","Sean Harlow","OG",76,303,5.15,30.5,26,105,8.16,4.81,0,4,5.15,30.5,26,105,8.16,4.81
"2727","Danny Isidora","OG",75,306,5.03,29,26,94,8.13,4.9,1,5,5.03,29,26,94,8.13,4.9
"2728","Dorian Johnson","OG",77,300,5.27,30,21,114,8.39,5.09,0,4,5.27,30,21,114,8.39,5.09
"2729","Forrest Lamp","OG",76,309,5,27.5,34,111,7.55,4.62,0,2,5,27.5,34,111,7.55,4.62
"2730","Cameron Lee","OG",77,312,5.44,25.5,18,100,8.02,4.75,0,8,5.44,25.5,18,100,8.02,4.75
"2731","Corey Levin","OG",76,307,5.16,26.5,26,106,7.55,4.73,0,8,5.16,26.5,26,106,7.55,4.73
"2732","Damien Mama","OG",75,334,5.84,24.5,NA,96,8.51,5.38,0,8,5.84,24.5,25,96,8.51,5.38
"2733","Jordan Morgan","OG",75,309,5.36,27,21,102,8.13,4.73,0,8,5.36,27,21,102,8.13,4.73
"2734","Nico Siragusa","OG",76,319,5.35,32,28,110,7.71,4.56,0,4,5.35,32,28,110,7.71,4.56
"2735","Nate Theaker","OG",77,315,5.41,27,23,105,7.97,4.89,0,8,5.41,27,23,105,7.97,4.89
"2736","John Abraham","OLB",76,252,4.55,NA,NA,NA,NA,NA,26,1,4.55,34.25,22,117,7.12,4.29
"2737","LaVar Arrington","OLB",75,250,4.53,NA,NA,NA,NA,NA,31,1,4.53,34.25,22,117,7.12,4.29
"2738","Corey Atkins","OLB",72,237,4.72,31,21,112,7.96,4.39,1,8,4.72,31,21,112,7.96,4.39
"2739","Keith Bulluck","OLB",75,244,4.47,38,NA,119,7.33,4.13,21,1,4.47,38,22,119,7.33,4.13
"2740","Na'il Diggs","OLB",76,231,4.66,NA,NA,NA,NA,NA,24,4,4.66,34.25,22,117,7.12,4.29
"2741","Chris Edwards","OLB",77,226,4.65,NA,NA,NA,NA,NA,0,8,4.65,34.25,22,117,7.12,4.29
"2742","Kabeer Gbaja-Biamila","OLB",76,243,4.65,34,21,120,6.9,4.28,12,5,4.65,34,21,120,6.9,4.28
"2743","Ian Gold","OLB",73,221,4.56,33,21,115,6.97,4.19,14,2,4.56,33,21,115,6.97,4.19
"2744","Barrett Green","OLB",72,233,4.56,36,22,120,NA,NA,10,2,4.56,36,22,120,7.12,4.29
"2745","Clark Haggans","OLB",75,253,4.97,31.5,20,109,7.12,4.21,4,5,4.97,31.5,20,109,7.12,4.21
"2746","Fred Jones","OLB",74,247,4.95,32,17,113,7.27,4.39,3,8,4.95,32,17,113,7.27,4.39
"2747","Dhani Jones","OLB",73,240,4.68,NA,29,NA,NA,NA,17,6,4.68,34.25,29,117,7.12,4.29
"2748","Corey Moore","OLB",71,223,4.6,NA,21,NA,NA,NA,2,3,4.6,34.25,21,117,7.12,4.29
"2749","Julian Peterson","OLB",77,231,4.68,NA,NA,NA,NA,NA,28,1,4.68,34.25,22,117,7.12,4.29
"2750","Cedric Pittman","OLB",75,261,4.9,30.5,20,111,7.75,4.52,0,8,4.9,30.5,20,111,7.75,4.52
"2751","DaShon Polk","OLB",74,233,4.75,32,18,111,7.43,4.45,2,7,4.75,32,18,111,7.43,4.45
"2752","Sekou Sanyika","OLB",75,241,4.75,32.5,NA,111,7.33,4.38,3,7,4.75,32.5,22,111,7.33,4.38
"2753","Samson Sherrod","OLB",75,262,4.78,NA,NA,NA,NA,NA,0,8,4.78,34.25,22,117,7.12,4.29
"2754","Mark Simoneau","OLB",72,237,4.6,36,24,117,7.08,4.09,7,3,4.6,36,24,117,7.08,4.09
"2755","Shannon Taylor","OLB",75,249,4.65,34.5,NA,115,NA,NA,4,6,4.65,34.5,22,115,7.12,4.29
"2756","Raynoch Thompson","OLB",75,220,4.65,NA,NA,NA,NA,NA,15,2,4.65,34.25,22,117,7.12,4.29
"2757","Brian Urlacher","OLB",76,258,4.59,34,27,122,6.94,4.18,45,1,4.59,34,27,122,6.94,4.18
"2758","Antonio Wilson","OLB",74,245,4.56,NA,11,NA,NA,NA,2,4,4.56,34.25,11,117,7.12,4.29
"2759","Keith Adams","OLB",71,219,4.82,NA,24,104,NA,NA,5,7,4.82,34.25,24,104,7.12,4.29
"2760","Brian Allen-01","OLB",72,238,4.65,NA,25,NA,NA,NA,7,3,4.65,34.25,25,117,7.12,4.29
"2761","Roylin Bradley","OLB",73,243,4.67,34,19,116,7.16,4.28,0,8,4.67,34,19,116,7.16,4.28
"2762","Patrick Chukwurah","OLB",74,238,4.77,40,24,119,7.34,4.21,4,5,4.77,40,24,119,7.34,4.21
"2763","Rick Crowell","OLB",75,242,5.03,31.5,19,109,7.54,4.35,0,6,5.03,31.5,19,109,7.54,4.35
"2764","Jason Glenn","OLB",73,236,4.94,36,14,115,7.16,4.31,4,6,4.94,36,14,115,7.16,4.31
"2765","Morlon Greenwood","OLB",72,237,4.69,33.5,21,112,7.62,4.08,16,3,4.69,33.5,21,112,7.62,4.08
"2766","Sedrick Hodge","OLB",76,244,4.49,32,21,120,NA,4.09,12,3,4.49,32,21,120,7.12,4.09
"2767","Orlando Huff","OLB",74,245,4.7,NA,16,NA,NA,NA,7,4,4.7,34.25,16,117,7.12,4.29
"2768","Jeremiah Pharms","OLB",72,257,4.91,32.5,NA,106,7.37,4.53,0,5,4.91,32.5,22,106,7.37,4.53
"2769","Tommy Polley","OLB",76,234,4.55,NA,NA,NA,NA,NA,19,2,4.55,34.25,22,117,7.12,4.29
"2770","Anthony Sessions","OLB",72,228,4.8,NA,19,NA,NA,NA,0,8,4.8,34.25,19,117,7.12,4.29
"2771","Markus Steele","OLB",75,232,4.62,33,NA,119,7.15,4.5,8,4,4.62,33,22,119,7.15,4.5
"2772","Eric Westmoreland","OLB",72,236,4.63,36.5,21,115,7.47,4.21,4,3,4.63,36.5,21,115,7.47,4.21
"2773","James Allen","OLB",75,240,4.62,38,24,126,7.59,4.21,9,3,4.62,38,24,126,7.59,4.21
"2774","Akin Ayodele","OLB",74,257,4.81,35,26,121,7,4.12,20,3,4.81,35,26,121,7,4.12
"2775","Kevin Bentley","OLB",72,243,4.68,39,23,120,6.71,3.83,12,4,4.68,39,23,120,6.71,3.83
"2776","Rocky Boiman","OLB",76,242,4.6,35,17,122,6.86,4.05,6,4,4.6,35,17,122,6.86,4.05
"2777","Courtland Bullard","OLB",75,234,4.69,36.5,NA,123,6.99,4.28,2,5,4.69,36.5,22,123,6.99,4.28
"2778","Rocky Calmus","OLB",75,243,4.69,NA,16,NA,NA,NA,6,3,4.69,34.25,16,117,7.12,4.29
"2779","Joe Cooper","OLB",72,233,4.95,32,17,111,7.47,4.46,0,8,4.95,32,17,111,7.47,4.46
"2780","Levar Fisher","OLB",73,233,4.67,31,NA,110,7.3,NA,6,2,4.67,31,22,110,7.3,4.29
"2781","Larry Foote","OLB",73,231,4.83,30,24,NA,7.18,4.41,12,4,4.83,30,24,117,7.18,4.41
"2782","Scott Fujita","OLB",77,248,4.64,42,20,122,7.09,4.21,17,5,4.64,42,20,122,7.09,4.21
"2783","Napoleon Harris","OLB",75,253,4.55,34,27,115,7.15,4.44,16,1,4.55,34,27,115,7.15,4.44
"2784","Ben Leber","OLB",75,244,4.62,32.5,20,114,6.75,4.25,18,3,4.62,32.5,20,114,6.75,4.25
"2785","Brandon Moore-01","OLB",73,239,4.61,36.5,23,113,NA,NA,0,8,4.61,36.5,23,113,7.12,4.29
"2786","Nick Rogers","OLB",74,251,4.73,36,22,117,7.02,4.19,8,6,4.73,36,22,117,7.02,4.19
"2787","Raonall Smith","OLB",74,244,4.53,42,26,125,7.1,4.11,6,2,4.53,42,26,125,7.1,4.11
"2788","Dominique Stevenson","OLB",72,231,4.53,32.5,23,110,NA,NA,2,7,4.53,32.5,23,110,7.12,4.29
"2789","Jashon Sykes","OLB",75,236,4.68,34.5,23,116,7.25,4.34,5,8,4.68,34.5,23,116,7.25,4.34
"2790","Robert Thomas-01","OLB",72,229,4.51,34,21,116,7.21,4.1,14,1,4.51,34,21,116,7.21,4.1
"2791","David Thornton","OLB",74,236,4.62,35.5,26,117,6.93,4.09,15,4,4.62,35.5,26,117,6.93,4.09
"2792","Will Witherspoon","OLB",73,231,4.68,38,25,122,7.09,4.21,22,3,4.68,38,25,122,7.09,4.21
"2793","Khalid Abdullah","OLB",74,227,4.61,36.5,26,126,7.13,4.25,1,5,4.61,36.5,26,126,7.13,4.25
"2794","Boss Bailey","OLB",75,233,4.58,42,NA,135,NA,NA,18,2,4.58,42,22,135,7.12,4.29
"2795","Nick Barnett","OLB",74,236,4.67,34.5,32,123,7,4.08,25,1,4.67,34.5,32,123,7,4.08
"2796","Chris Clemons-01","OLB",75,236,4.68,35,18,116,7.48,4.66,5,8,4.68,35,18,116,7.48,4.66
"2797","Cie Grant","OLB",72,228,4.68,NA,NA,NA,NA,NA,0,3,4.68,34.25,22,117,7.12,4.29
"2798","Jeremy Loyd","OLB",74,235,4.64,34,17,114,6.9,4.15,1,8,4.64,34,17,114,6.9,4.15
"2799","Eddie Moore","OLB",72,237,4.71,NA,NA,NA,NA,NA,3,2,4.71,34.25,22,117,7.12,4.29
"2800","Michael Nattiel","OLB",72,228,4.65,30,NA,106,7.49,4.39,0,8,4.65,30,22,106,7.49,4.39
"2801","Joe Odom","OLB",73,241,4.6,NA,26,NA,NA,NA,6,6,4.6,34.25,26,117,7.12,4.29
"2802","Antwan Peek","OLB",75,246,4.65,37,21,125,7.07,4.35,9,3,4.65,37,21,125,7.07,4.35
"2803","Scott Shanle","OLB",74,245,4.72,31,20,111,7.27,4.32,7,7,4.72,31,20,111,7.27,4.32
"2804","Chaun Thompson","OLB",74,240,4.58,35.5,29,123,7.01,4.22,15,2,4.58,35.5,29,123,7.01,4.22
"2805","Pisa Tinoisamoa","OLB",72,231,4.65,34.5,19,111,6.97,4.07,20,2,4.65,34.5,19,111,6.97,4.07
"2806","Colby Bockwoldt","OLB",74,230,4.6,34,14,112,7.12,4.05,12,7,4.6,34,14,112,7.12,4.05
"2807","Michael Boulware","OLB",74,225,4.5,NA,NA,NA,6.89,3.92,17,2,4.5,34.25,22,117,6.89,3.92
"2808","Josh Buhl","OLB",71,204,4.73,29,NA,114,7.26,4.32,0,8,4.73,29,22,114,7.26,4.32
"2809","Brandon Chillar","OLB",75,253,4.71,33,23,115,NA,4.08,11,4,4.71,33,23,115,7.12,4.08
"2810","Cols Colas","OLB",72,233,4.58,34.5,22,118,NA,NA,0,8,4.58,34.5,22,118,7.12,4.29
"2811","Marquis Cooper","OLB",75,223,4.55,36.5,25,121,7.02,4.12,2,3,4.55,36.5,25,121,7.02,4.12
"2812","Karlos Dansby","OLB",75,251,4.58,NA,NA,NA,NA,NA,22,2,4.58,34.25,22,117,7.12,4.29
"2813","Keyaron Fox","OLB",74,227,4.65,NA,28,NA,NA,NA,4,3,4.65,34.25,28,117,7.12,4.29
"2814","Gilbert Gardner","OLB",73,229,4.65,NA,NA,NA,NA,NA,7,3,4.65,34.25,22,117,7.12,4.29
"2815","Jonathan Harrell","OLB",73,242,4.73,NA,27,NA,NA,NA,0,8,4.73,34.25,27,117,7.12,4.29
"2816","Bryan Hickman","OLB",72,231,4.68,32.5,26,106,7.38,4,0,8,4.68,32.5,26,106,7.38,4
"2817","T.J. Hollowell","OLB",72,235,4.64,33.5,NA,117,7.14,4.09,0,8,4.64,33.5,22,117,7.14,4.09
"2818","Leon Joe","OLB",72,230,4.49,39,30,NA,NA,NA,3,4,4.49,39,30,117,7.12,4.29
"2819","Landon Johnson","OLB",74,227,4.65,37.5,20,120,7,4.08,17,3,4.65,37.5,20,120,7,4.08
"2820","Maurice Jones","OLB",73,249,4.71,35.5,26,118,7.16,4.21,0,8,4.71,35.5,26,118,7.16,4.21
"2821","Teddy Lehman","OLB",73,240,4.55,34.5,26,113,6.91,4.06,8,2,4.55,34.5,26,113,6.91,4.06
"2822","Alex Lewis-01","OLB",72,227,4.78,34.5,25,121,7.06,4.28,4,5,4.78,34.5,25,121,7.06,4.28
"2823","Lewis Moore","OLB",73,234,4.68,NA,NA,NA,NA,NA,0,8,4.68,34.25,22,117,7.12,4.29
"2824","Kendyll Pope","OLB",73,226,4.7,NA,NA,118,NA,4.26,0,4,4.7,34.25,22,118,7.12,4.26
